;Scopy version,b3d077f6
;Exported on,Saturday April 12/04/2025
;Device,M2K
;Nr of samples,2000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
764,33788.1,-3.72898,14.9381
765,33944.2,-3.74593,14.956
766,34100.9,-3.70802,14.2385
767,34258.4,-3.76434,14.0321
768,34416.6,-3.8339,13.6163
769,34575.6,-3.84167,13.6057
770,34735.2,-3.89552,13.1146
771,34895.7,-3.89205,12.2396
772,35056.8,-3.94399,12.1794
773,35218.7,-3.94598,12.2047
774,35381.3,-3.98649,11.6729
775,35544.7,-4.02908,11.1589
776,35708.9,-4.06318,10.7617
777,35873.8,-4.07032,10.7099
778,36039.5,-4.10538,10.2672
779,36205.9,-4.15831,9.72451
780,36373.1,-4.23363,8.83965
781,36541.1,-4.21925,9.22163
782,36709.8,-4.24202,8.85149
783,36879.4,-4.28388,8.39345
