time	V(n003)	I(C1)
3.881938544642865e-02	7.498903e+01	1.972060e-05
3.900074705357149e-02	7.498990e+01	1.798380e-05
3.918210866071434e-02	7.499069e+01	1.640339e-05
3.936347026785719e-02	7.499140e+01	1.497935e-05
3.954483187500003e-02	7.499203e+01	1.371170e-05
3.972619348214288e-02	7.499261e+01	1.254247e-05
3.990755508928573e-02	7.499316e+01	1.145612e-05
4.008891669642858e-02	7.499366e+01	1.045267e-05
4.027027830357142e-02	7.499412e+01	9.532098e-06
4.045163991071427e-02	7.499454e+01	8.694418e-06
4.063300151785711e-02	7.499492e+01	7.939626e-06
4.081436312499996e-02	7.499525e+01	7.267723e-06
4.100270017857138e-02	7.499557e+01	6.625997e-06
4.119103723214280e-02	7.499587e+01	6.031109e-06
4.137937428571421e-02	7.499614e+01	5.483061e-06
4.156771133928563e-02	7.499639e+01	4.981851e-06
4.175604839285705e-02	7.499662e+01	4.527480e-06
4.194438544642847e-02	7.499682e+01	4.119948e-06
4.213272249999989e-02	7.499700e+01	3.759255e-06
4.232105955357130e-02	7.499717e+01	3.427320e-06
4.250939660714272e-02	7.499733e+01	3.119612e-06
4.269773366071414e-02	7.499747e+01	2.836132e-06
4.288607071428556e-02	7.499760e+01	2.576880e-06
4.307440776785697e-02	7.499772e+01	2.341855e-06
4.326274482142840e-02	7.499782e+01	2.131058e-06
4.345108187499981e-02	7.499791e+01	1.944488e-06
4.364639437499980e-02	7.499800e+01	1.766951e-06
4.384170687499979e-02	7.499808e+01	1.602738e-06
4.403701937499978e-02	7.499816e+01	1.451849e-06
4.423233187499977e-02	7.499823e+01	1.314284e-06
4.442764437499976e-02	7.499829e+01	1.190043e-06
4.462295687499974e-02	7.499834e+01	1.079126e-06
4.481826937499973e-02	7.499839e+01	9.815333e-07
4.501358187499972e-02	7.499844e+01	8.919166e-07
4.520889437499971e-02	7.499848e+01	8.090256e-07
4.540420687499970e-02	7.499852e+01	7.328602e-07
4.559951937499969e-02	7.499855e+01	6.634206e-07
4.579483187499968e-02	7.499858e+01	6.007066e-07
4.599014437499967e-02	7.499861e+01	5.447184e-07
4.618545687499966e-02	7.499863e+01	4.954558e-07
4.642959749999964e-02	7.499866e+01	4.400894e-07
4.667373812499963e-02	7.499869e+01	3.896236e-07
4.691787874999961e-02	7.499872e+01	3.440585e-07
4.716201937499960e-02	7.499874e+01	3.033940e-07
4.740615999999959e-02	7.499875e+01	2.676302e-07
4.765030062499957e-02	7.499877e+01	2.367670e-07
4.789444124999956e-02	7.499878e+01	2.108044e-07
4.819438544642812e-02	7.499879e+01	1.825903e-07
4.849432964285667e-02	7.499881e+01	1.572558e-07
4.879427383928522e-02	7.499882e+01	1.348009e-07
4.909421803571377e-02	7.499883e+01	1.152257e-07
4.939416223214233e-02	7.499884e+01	9.853012e-08
4.969410642857089e-02	7.499884e+01	8.471416e-08
4.999405062499944e-02	7.499885e+01	7.377783e-08
5.000000000000000e-02	7.499886e+01	8.946911e-06
