time	V(n001)	V(n003)
4.202726721855607e-03	5.000000e+00	1.306170e+00
4.212492346855607e-03	5.000000e+00	1.184557e+00
4.222257971855607e-03	5.000000e+00	1.074266e+00
4.232023596855606e-03	5.000000e+00	9.742453e-01
4.241789221855606e-03	5.000000e+00	8.835372e-01
4.251554846855606e-03	5.000000e+00	8.012750e-01
4.261320471855606e-03	5.000000e+00	7.266724e-01
4.271086096855605e-03	5.000000e+00	6.590160e-01
4.280851721855605e-03	5.000000e+00	5.976592e-01
4.290617346855605e-03	5.000000e+00	5.420153e-01
4.300382971855605e-03	5.000000e+00	4.915525e-01
4.310148596855605e-03	5.000000e+00	4.457884e-01
4.319914221855604e-03	5.000000e+00	4.042853e-01
4.329679846855604e-03	5.000000e+00	3.666467e-01
4.339445471855604e-03	5.000000e+00	3.325126e-01
4.349211096855604e-03	5.000000e+00	3.015567e-01
4.358976721855604e-03	5.000000e+00	2.734832e-01
4.368742346855603e-03	5.000000e+00	2.480236e-01
4.378507971855603e-03	5.000000e+00	2.249346e-01
4.388273596855603e-03	5.000000e+00	2.039955e-01
4.398039221855603e-03	5.000000e+00	1.850059e-01
4.407804846855603e-03	5.000000e+00	1.677845e-01
4.417570471855602e-03	5.000000e+00	1.521666e-01
4.427336096855602e-03	5.000000e+00	1.380030e-01
4.437101721855602e-03	5.000000e+00	1.251581e-01
4.446867346855602e-03	5.000000e+00	1.135091e-01
4.456632971855602e-03	5.000000e+00	1.029449e-01
4.466398596855601e-03	5.000000e+00	9.336426e-02
4.476164221855601e-03	5.000000e+00	8.467570e-02
4.485929846855601e-03	5.000000e+00	7.679614e-02
4.500000000100000e-03	4.999939e+00	6.671143e-02
4.500000000200000e-03	-5.000000e+00	-9.933282e+00
4.505244442593659e-03	-5.000000e+00	-9.428275e+00
4.510488884987318e-03	-5.000000e+00	-8.946191e+00
4.515733327380977e-03	-5.000000e+00	-8.487030e+00
4.520977769774634e-03	-5.000000e+00	-8.050792e+00
4.526222212168293e-03	-5.000000e+00	-7.637477e+00
4.531466654561952e-03	-5.000000e+00	-7.247084e+00
4.536711096955611e-03	-5.000000e+00	-6.879615e+00
4.546476721955611e-03	-5.000000e+00	-6.239053e+00
4.556242346955610e-03	-5.000000e+00	-5.658135e+00
4.566007971955610e-03	-5.000000e+00	-5.131306e+00
4.575773596955610e-03	-5.000000e+00	-4.653531e+00
4.585539221955610e-03	-5.000000e+00	-4.220242e+00
4.595304846955610e-03	-5.000000e+00	-3.827297e+00
4.605070471955609e-03	-5.000000e+00	-3.470939e+00
4.614836096955609e-03	-5.000000e+00	-3.147762e+00
4.624601721955609e-03	-5.000000e+00	-2.854676e+00
4.634367346955609e-03	-5.000000e+00	-2.588880e+00
4.644132971955608e-03	-5.000000e+00	-2.347832e+00
4.653898596955608e-03	-5.000000e+00	-2.129228e+00
4.663664221955608e-03	-5.000000e+00	-1.930979e+00
4.673429846955608e-03	-5.000000e+00	-1.751188e+00
4.683195471955608e-03	-5.000000e+00	-1.588139e+00
4.692961096955607e-03	-5.000000e+00	-1.440270e+00
4.702726721955607e-03	-5.000000e+00	-1.306170e+00
4.712492346955607e-03	-5.000000e+00	-1.184557e+00
4.722257971955607e-03	-5.000000e+00	-1.074266e+00
4.732023596955607e-03	-5.000000e+00	-9.742452e-01
4.741789221955606e-03	-5.000000e+00	-8.835371e-01
4.751554846955606e-03	-5.000000e+00	-8.012750e-01
4.761320471955606e-03	-5.000000e+00	-7.266723e-01
4.771086096955606e-03	-5.000000e+00	-6.590160e-01
4.780851721955606e-03	-5.000000e+00	-5.976591e-01
4.790617346955605e-03	-5.000000e+00	-5.420153e-01
4.800382971955605e-03	-5.000000e+00	-4.915525e-01
4.810148596955605e-03	-5.000000e+00	-4.457883e-01
4.819914221955605e-03	-5.000000e+00	-4.042853e-01
4.829679846955605e-03	-5.000000e+00	-3.666466e-01
4.839445471955604e-03	-5.000000e+00	-3.325126e-01
4.849211096955604e-03	-5.000000e+00	-3.015567e-01
4.858976721955604e-03	-5.000000e+00	-2.734832e-01
4.868742346955604e-03	-5.000000e+00	-2.480236e-01
4.878507971955603e-03	-5.000000e+00	-2.249346e-01
4.888273596955603e-03	-5.000000e+00	-2.039954e-01
4.898039221955603e-03	-5.000000e+00	-1.850059e-01
4.907804846955603e-03	-5.000000e+00	-1.677845e-01
4.917570471955603e-03	-5.000000e+00	-1.521666e-01
4.927336096955602e-03	-5.000000e+00	-1.380029e-01
4.937101721955602e-03	-5.000000e+00	-1.251580e-01
4.946867346955602e-03	-5.000000e+00	-1.135091e-01
4.956632971955602e-03	-5.000000e+00	-1.029449e-01
4.966398596955602e-03	-5.000000e+00	-9.336425e-02
4.976164221955601e-03	-5.000000e+00	-8.467569e-02
4.985929846955601e-03	-5.000000e+00	-7.679613e-02
5.000000000000000e-03	-5.000000e+00	-6.671143e-02
5.000000000100000e-03	4.999987e+00	9.933270e+00
5.005244442493659e-03	4.999994e+00	9.428270e+00
5.010488884887318e-03	5.000000e+00	8.946192e+00
5.015733327280976e-03	5.000004e+00	8.487035e+00
5.020977769674634e-03	5.000005e+00	8.050798e+00
5.026222212068293e-03	5.000005e+00	7.637483e+00
5.031466654461952e-03	5.000004e+00	7.247089e+00
5.036711096855610e-03	5.000000e+00	6.879615e+00
5.046476721855610e-03	5.000000e+00	6.239054e+00
5.056242346855610e-03	5.000000e+00	5.658135e+00
5.066007971855610e-03	5.000000e+00	5.131307e+00
5.075773596855610e-03	5.000000e+00	4.653532e+00
5.085539221855609e-03	5.000000e+00	4.220243e+00
5.095304846855609e-03	5.000000e+00	3.827297e+00
5.105070471855609e-03	5.000000e+00	3.470939e+00
5.114836096855609e-03	5.000000e+00	3.147762e+00
5.124601721855609e-03	5.000000e+00	2.854676e+00
5.134367346855608e-03	5.000000e+00	2.588880e+00
5.144132971855608e-03	5.000000e+00	2.347832e+00
5.153898596855608e-03	5.000000e+00	2.129228e+00
5.163664221855608e-03	5.000000e+00	1.930979e+00
5.173429846855608e-03	5.000000e+00	1.751189e+00
5.183195471855607e-03	5.000000e+00	1.588139e+00
5.192961096855607e-03	5.000000e+00	1.440271e+00
5.202726721855607e-03	5.000000e+00	1.306170e+00
5.212492346855607e-03	5.000000e+00	1.184557e+00
5.222257971855607e-03	5.000000e+00	1.074266e+00
5.232023596855606e-03	5.000000e+00	9.742453e-01
5.241789221855606e-03	5.000000e+00	8.835372e-01
5.251554846855606e-03	5.000000e+00	8.012750e-01
5.261320471855606e-03	5.000000e+00	7.266724e-01
5.271086096855605e-03	5.000000e+00	6.590160e-01
5.280851721855605e-03	5.000000e+00	5.976592e-01
5.290617346855605e-03	5.000000e+00	5.420153e-01
5.300382971855605e-03	5.000000e+00	4.915525e-01
5.310148596855605e-03	5.000000e+00	4.457884e-01
5.319914221855604e-03	5.000000e+00	4.042853e-01
5.329679846855604e-03	5.000000e+00	3.666467e-01
5.339445471855604e-03	5.000000e+00	3.325126e-01
5.349211096855604e-03	5.000000e+00	3.015567e-01
5.358976721855604e-03	5.000000e+00	2.734832e-01
5.368742346855603e-03	5.000000e+00	2.480236e-01
5.378507971855603e-03	5.000000e+00	2.249346e-01
5.388273596855603e-03	5.000000e+00	2.039955e-01
5.398039221855603e-03	5.000000e+00	1.850059e-01
5.407804846855603e-03	5.000000e+00	1.677845e-01
5.417570471855602e-03	5.000000e+00	1.521666e-01
5.427336096855602e-03	5.000000e+00	1.380030e-01
5.437101721855602e-03	5.000000e+00	1.251581e-01
5.446867346855602e-03	5.000000e+00	1.135091e-01
5.456632971855602e-03	5.000000e+00	1.029449e-01
5.466398596855601e-03	5.000000e+00	9.336426e-02
5.476164221855601e-03	5.000000e+00	8.467570e-02
5.485929846855601e-03	5.000000e+00	7.679614e-02
5.500000000100000e-03	5.000000e+00	6.677246e-02
5.500000000199999e-03	-4.999933e+00	-9.933215e+00
5.505244442593658e-03	-4.999971e+00	-9.428247e+00
5.510488884987317e-03	-5.000000e+00	-8.946192e+00
5.515733327380976e-03	-5.000020e+00	-8.487051e+00
5.520977769774634e-03	-5.000029e+00	-8.050822e+00
5.526222212168292e-03	-5.000029e+00	-7.637507e+00
5.531466654561951e-03	-5.000019e+00	-7.247104e+00
5.536711096955610e-03	-5.000000e+00	-6.879615e+00
5.546476721955610e-03	-5.000000e+00	-6.239054e+00
5.556242346955610e-03	-5.000000e+00	-5.658135e+00
5.566007971955609e-03	-5.000000e+00	-5.131307e+00
5.575773596955609e-03	-5.000000e+00	-4.653532e+00
5.585539221955609e-03	-5.000000e+00	-4.220243e+00
5.595304846955609e-03	-5.000000e+00	-3.827297e+00
5.605070471955608e-03	-5.000000e+00	-3.470939e+00
5.614836096955608e-03	-5.000000e+00	-3.147762e+00
5.624601721955608e-03	-5.000000e+00	-2.854676e+00
5.634367346955608e-03	-5.000000e+00	-2.588880e+00
5.644132971955608e-03	-5.000000e+00	-2.347832e+00
5.653898596955607e-03	-5.000000e+00	-2.129228e+00
5.663664221955607e-03	-5.000000e+00	-1.930979e+00
5.673429846955607e-03	-5.000000e+00	-1.751189e+00
5.683195471955607e-03	-5.000000e+00	-1.588139e+00
5.692961096955607e-03	-5.000000e+00	-1.440271e+00
5.702726721955606e-03	-5.000000e+00	-1.306170e+00
5.712492346955606e-03	-5.000000e+00	-1.184557e+00
5.722257971955606e-03	-5.000000e+00	-1.074266e+00
5.732023596955606e-03	-5.000000e+00	-9.742453e-01
5.741789221955606e-03	-5.000000e+00	-8.835372e-01
5.751554846955605e-03	-5.000000e+00	-8.012750e-01
5.761320471955605e-03	-5.000000e+00	-7.266724e-01
5.771086096955605e-03	-5.000000e+00	-6.590160e-01
5.780851721955605e-03	-5.000000e+00	-5.976592e-01
5.790617346955605e-03	-5.000000e+00	-5.420153e-01
5.800382971955604e-03	-5.000000e+00	-4.915525e-01
5.810148596955604e-03	-5.000000e+00	-4.457884e-01
5.819914221955604e-03	-5.000000e+00	-4.042853e-01
5.829679846955604e-03	-5.000000e+00	-3.666467e-01
5.839445471955603e-03	-5.000000e+00	-3.325126e-01
5.849211096955603e-03	-5.000000e+00	-3.015567e-01
5.858976721955603e-03	-5.000000e+00	-2.734832e-01
5.868742346955603e-03	-5.000000e+00	-2.480236e-01
5.878507971955603e-03	-5.000000e+00	-2.249346e-01
5.888273596955602e-03	-5.000000e+00	-2.039955e-01
5.898039221955602e-03	-5.000000e+00	-1.850059e-01
5.907804846955602e-03	-5.000000e+00	-1.677845e-01
5.917570471955602e-03	-5.000000e+00	-1.521666e-01
5.927336096955602e-03	-5.000000e+00	-1.380030e-01
5.937101721955601e-03	-5.000000e+00	-1.251581e-01
5.946867346955601e-03	-5.000000e+00	-1.135091e-01
5.956632971955601e-03	-5.000000e+00	-1.029449e-01
5.966398596955601e-03	-5.000000e+00	-9.336426e-02
5.976164221955601e-03	-5.000000e+00	-8.467570e-02
5.985929846955600e-03	-5.000000e+00	-7.679614e-02
6.000000000000000e-03	-5.000000e+00	-6.677246e-02
6.000000000100000e-03	4.999987e+00	9.933270e+00
6.005244442493659e-03	4.999994e+00	9.428270e+00
6.010488884887318e-03	5.000000e+00	8.946192e+00
6.015733327280976e-03	5.000004e+00	8.487035e+00
6.020977769674634e-03	5.000005e+00	8.050798e+00
6.026222212068293e-03	5.000005e+00	7.637483e+00
6.031466654461952e-03	5.000004e+00	7.247089e+00
6.036711096855610e-03	5.000000e+00	6.879615e+00
6.046476721855610e-03	5.000000e+00	6.239054e+00
6.056242346855610e-03	5.000000e+00	5.658135e+00
6.066007971855610e-03	5.000000e+00	5.131307e+00
6.075773596855610e-03	5.000000e+00	4.653532e+00
6.085539221855609e-03	5.000000e+00	4.220243e+00
6.095304846855609e-03	5.000000e+00	3.827297e+00
6.105070471855609e-03	5.000000e+00	3.470939e+00
6.114836096855609e-03	5.000000e+00	3.147762e+00
6.124601721855609e-03	5.000000e+00	2.854676e+00
6.134367346855608e-03	5.000000e+00	2.588880e+00
6.144132971855608e-03	5.000000e+00	2.347832e+00
6.153898596855608e-03	5.000000e+00	2.129228e+00
6.163664221855608e-03	5.000000e+00	1.930979e+00
6.173429846855608e-03	5.000000e+00	1.751189e+00
6.183195471855607e-03	5.000000e+00	1.588139e+00
6.192961096855607e-03	5.000000e+00	1.440271e+00
6.202726721855607e-03	5.000000e+00	1.306170e+00
6.212492346855607e-03	5.000000e+00	1.184557e+00
6.222257971855607e-03	5.000000e+00	1.074266e+00
6.232023596855606e-03	5.000000e+00	9.742453e-01
6.241789221855606e-03	5.000000e+00	8.835372e-01
6.251554846855606e-03	5.000000e+00	8.012750e-01
6.261320471855606e-03	5.000000e+00	7.266724e-01
6.271086096855606e-03	5.000000e+00	6.590160e-01
6.280851721855605e-03	5.000000e+00	5.976592e-01
6.290617346855605e-03	5.000000e+00	5.420153e-01
6.300382971855605e-03	5.000000e+00	4.915525e-01
6.310148596855605e-03	5.000000e+00	4.457884e-01
6.319914221855604e-03	5.000000e+00	4.042853e-01
6.329679846855604e-03	5.000000e+00	3.666467e-01
6.339445471855604e-03	5.000000e+00	3.325126e-01
6.349211096855604e-03	5.000000e+00	3.015567e-01
6.358976721855604e-03	5.000000e+00	2.734832e-01
6.368742346855603e-03	5.000000e+00	2.480236e-01
6.378507971855603e-03	5.000000e+00	2.249346e-01
6.388273596855603e-03	5.000000e+00	2.039955e-01
6.398039221855603e-03	5.000000e+00	1.850059e-01
6.407804846855603e-03	5.000000e+00	1.677845e-01
6.417570471855602e-03	5.000000e+00	1.521666e-01
6.427336096855602e-03	5.000000e+00	1.380030e-01
6.437101721855602e-03	5.000000e+00	1.251581e-01
6.446867346855602e-03	5.000000e+00	1.135091e-01
6.456632971855602e-03	5.000000e+00	1.029449e-01
6.466398596855601e-03	5.000000e+00	9.336426e-02
6.476164221855601e-03	5.000000e+00	8.467570e-02
6.485929846855601e-03	5.000000e+00	7.679614e-02
6.500000000100000e-03	5.000000e+00	6.665039e-02
6.500000000200000e-03	-5.000000e+00	-9.933282e+00
6.505244442593659e-03	-5.000000e+00	-9.428275e+00
6.510488884987318e-03	-5.000000e+00	-8.946191e+00
6.515733327380977e-03	-5.000000e+00	-8.487030e+00
6.520977769774635e-03	-5.000000e+00	-8.050792e+00
6.526222212168293e-03	-5.000000e+00	-7.637477e+00
6.531466654561952e-03	-5.000000e+00	-7.247084e+00
6.536711096955611e-03	-5.000000e+00	-6.879615e+00
6.546476721955611e-03	-5.000000e+00	-6.239053e+00
6.556242346955610e-03	-5.000000e+00	-5.658135e+00
6.566007971955610e-03	-5.000000e+00	-5.131306e+00
