time	V(n003)	I(C1)
5.870112417788788e-04	-4.871976e+00	-6.401174e-05
5.899409292788788e-04	-4.889424e+00	-5.528784e-05
5.909174917788788e-04	-4.894695e+00	-5.265258e-05
5.928706167788788e-04	-4.904494e+00	-4.775288e-05
5.938471792788788e-04	-4.909047e+00	-4.547677e-05
5.948237417788788e-04	-4.913382e+00	-4.330914e-05
5.958003042788788e-04	-4.917511e+00	-4.124484e-05
5.967768667788788e-04	-4.921442e+00	-3.927893e-05
5.977534292788788e-04	-4.925187e+00	-3.740672e-05
5.987299917788789e-04	-4.928752e+00	-3.562375e-05
5.997065542788789e-04	-4.932148e+00	-3.392576e-05
5.999999999999999e-04	-4.933137e+00	-3.343076e-05
6.000000000999999e-04	-4.933137e+00	4.966566e-03
6.011299542541255e-04	-4.391120e+00	4.695559e-03
6.022599084082510e-04	-3.875247e+00	4.437623e-03
6.033898625623766e-04	-3.385519e+00	4.192760e-03
6.045198167165021e-04	-2.921936e+00	3.960968e-03
6.056497708706277e-04	-2.484496e+00	3.742249e-03
6.067797250247532e-04	-2.073202e+00	3.536601e-03
6.079096791788788e-04	-1.688052e+00	3.344026e-03
6.088862416788788e-04	-1.369269e+00	3.184635e-03
6.098628041788788e-04	-1.065682e+00	3.032841e-03
6.108393666788788e-04	-7.765643e-01	2.888282e-03
6.118159291788788e-04	-5.012276e-01	2.750614e-03
6.127924916788788e-04	-2.390146e-01	2.619507e-03
6.137690541788788e-04	1.070007e-02	2.494650e-03
6.147456166788788e-04	2.485123e-01	2.375744e-03
6.157221791788788e-04	4.749893e-01	2.262505e-03
6.166987416788788e-04	6.906714e-01	2.154664e-03
6.176753041788788e-04	8.960732e-01	2.051963e-03
6.186518666788788e-04	1.091685e+00	1.954158e-03
6.196284291788788e-04	1.277972e+00	1.861014e-03
6.206049916788788e-04	1.455381e+00	1.772310e-03
6.225581166788789e-04	1.785232e+00	1.607384e-03
6.245112416788789e-04	2.084389e+00	1.457806e-03
6.264643666788789e-04	2.355707e+00	1.322147e-03
6.284174916788789e-04	2.601777e+00	1.199112e-03
6.303706166788789e-04	2.824948e+00	1.087526e-03
6.323237416788789e-04	3.027352e+00	9.863240e-04
6.342768666788789e-04	3.210921e+00	8.945397e-04
6.372065541788789e-04	3.454747e+00	7.726265e-04
6.391596791788789e-04	3.598544e+00	7.007282e-04
6.411128041788789e-04	3.728959e+00	6.355206e-04
6.430659291788789e-04	3.847238e+00	5.763809e-04
6.450190541788789e-04	3.954511e+00	5.227447e-04
6.469721791788789e-04	4.051801e+00	4.740996e-04
6.489253041788789e-04	4.140038e+00	4.299814e-04
6.508784291788789e-04	4.220063e+00	3.899686e-04
6.528315541788789e-04	4.292642e+00	3.536793e-04
6.547846791788789e-04	4.358466e+00	3.207670e-04
6.577143666788789e-04	4.445898e+00	2.770509e-04
6.596674916788789e-04	4.497461e+00	2.512694e-04
6.616206166788789e-04	4.544226e+00	2.278870e-04
6.635737416788789e-04	4.586639e+00	2.066806e-04
6.655268666788789e-04	4.625105e+00	1.874475e-04
6.674799916788789e-04	4.659992e+00	1.700042e-04
6.694331166788789e-04	4.691632e+00	1.541841e-04
6.704096791788789e-04	4.706330e+00	1.468350e-04
6.713862416788789e-04	4.720327e+00	1.398362e-04
6.723628041788789e-04	4.733658e+00	1.331710e-04
6.733393666788789e-04	4.746353e+00	1.268235e-04
6.743159291788789e-04	4.758443e+00	1.207785e-04
6.752924916788789e-04	4.769957e+00	1.150217e-04
6.762690541788789e-04	4.780921e+00	1.095392e-04
6.772456166788789e-04	4.791364e+00	1.043181e-04
6.782221791788789e-04	4.801308e+00	9.934582e-05
6.791987416788789e-04	4.810779e+00	9.461056e-05
6.801753041788789e-04	4.819798e+00	9.010100e-05
6.821284291788789e-04	4.836567e+00	8.171648e-05
6.831049916788789e-04	4.844357e+00	7.782150e-05
6.860346791788789e-04	4.865569e+00	6.721553e-05
6.870112416788789e-04	4.871976e+00	6.401174e-05
6.899409291788789e-04	4.889424e+00	5.528784e-05
6.909174916788789e-04	4.894695e+00	5.265258e-05
6.928706166788789e-04	4.904494e+00	4.775288e-05
6.938471791788789e-04	4.909047e+00	4.547677e-05
6.948237416788789e-04	4.913382e+00	4.330914e-05
6.958003041788789e-04	4.917511e+00	4.124484e-05
6.967768666788789e-04	4.921442e+00	3.927893e-05
